"","coord.Dim.1","coord.Dim.2","coord.Dim.3","coord.Dim.4","coord.Dim.5","cor.Dim.1","cor.Dim.2","cor.Dim.3","cor.Dim.4","cor.Dim.5","cos2.Dim.1","cos2.Dim.2","cos2.Dim.3","cos2.Dim.4","cos2.Dim.5","contrib.Dim.1","contrib.Dim.2","contrib.Dim.3","contrib.Dim.4","contrib.Dim.5"
"Q1",0.794001864969072,-0.229313489399051,0.191132642650642,0.0640712909816337,0.0463670169969102,0.794001864969072,-0.229313489399051,0.191132642650642,0.0640712909816337,0.0463670169969102,0.630438961574365,0.0525846764203687,0.0365316870866181,0.00410513032805318,0.00214990026519176,8.71470051124832,2.4525832970344,2.50930138334121,0.348658340885444,0.243159886732577
"Q2",0.675467665994827,-0.283514839759989,-0.00779495740167309,-0.0922670382092564,0.144405365981247,0.675467665994827,-0.283514839759989,-0.00779495740167309,-0.0922670382092564,0.144405365981247,0.456256567804499,0.0803806643641322,6.07613608938981e-05,0.00851320633990838,0.0208529097241778,6.30693784339859,3.74900614102926,0.00417359774770992,0.72304656877862,2.35852390395582
"Q3",0.818780835055352,-0.228176059539128,0.130817087590625,0.0691925478618237,0.0503746011175973,0.818780835055351,-0.228176059539127,0.130817087590625,0.0691925478618237,0.0503746011175973,0.670402055853939,0.0520643141468035,0.0171131104056934,0.00478760867961077,0.00253760043775704,9.26711941200844,2.4283132642524,1.17547135210208,0.406622826962345,0.287009888322658
"Q4",0.396957854921163,0.520697023077735,0.192853139465096,0.490829572453026,-0.132642176161006,0.396957854921163,0.520697023077735,0.192853139465096,0.490829572453026,-0.132642176161006,0.157575538583611,0.271125389842016,0.0371923334015438,0.240913669194421,0.0175939468967274,2.17820234844867,12.6454634276478,2.55468008999693,20.461362608623,1.98992586021456
"Q5",0.24919545201325,0.635139064056798,0.268396222718345,0.456198615687573,-0.0790842954575269,0.24919545201325,0.635139064056798,0.268396222718344,0.456198615687573,-0.0790842954575269,0.0620983733040879,0.403401630690945,0.0720365323694752,0.208117176955258,0.00625432578801341,0.858399874635586,18.8149127993077,4.94807069537291,17.6758796501826,0.707382186431951
"Q6",-0.0481493228942713,0.481759459274671,0.218974873631268,-0.2738835264415,0.724003200684958,-0.0481493228942713,0.481759459274671,0.218974873631268,-0.2738835264415,0.724003200684958,0.0023183572951768,0.232092176600623,0.0479499952818299,0.075012186056032,0.524180634602063,0.0320471778188955,10.8249291324451,3.29360615639279,6.37096078479181,59.2863333248063
"Q7",0.428583535175142,0.596194244065056,-0.0143280841023262,-0.475457143843081,-0.236555786609763,0.428583535175142,0.596194244065056,-0.0143280841023262,-0.475457143843081,-0.236555786609763,0.183683846623222,0.355447576656303,0.000205293994043333,0.22605949563142,0.0559586401785636,2.53910340198197,16.5783047234065,0.0141013061352231,19.1997628308259,6.32908271506023
"Q8",0.455586784080214,0.576667444816894,0.0629055733074947,-0.475759472029944,-0.227523021585964,0.455586784080214,0.576667444816894,0.0629055733074947,-0.475759472029944,-0.227523021585964,0.207559317828551,0.332545341911646,0.00395711115314459,0.226347075226211,0.0517667253516069,2.86913944639106,15.5101296917589,0.271807443961654,19.2241876398768,5.85496512411027
"Q9",-0.362670957575198,0.40669228053907,0.157798088769668,0.304061288754485,0.2509503164603,-0.362670957575198,0.40669228053907,0.157798088769668,0.304061288754485,0.2509503164603,0.131530223468511,0.165398611050069,0.0249002368193599,0.0924532673190381,0.0629760613315246,1.81817206037389,7.71429812691513,1.71035623260967,7.85227269707202,7.12277317611824
"Q10",0.62381226039596,-0.225696051217193,0.0485088317068015,0.17319103007088,0.0544134933454713,0.62381226039596,-0.225696051217193,0.0485088317068015,0.17319103007088,0.0544134933454713,0.389141736220317,0.0509387075350337,0.00235310675355879,0.0299951328970124,0.00296082825805765,5.37919433011951,2.37581424432901,0.161631025083907,2.54755694333105,0.334878168778539
"Q11",0.467349358912086,0.236157625670946,-0.757524752168788,0.0934600524666286,0.093308216621129,0.467349358912086,0.236157625670946,-0.757524752168787,0.0934600524666285,0.093308216621129,0.218415423275538,0.0557704241625384,0.573843750148383,0.00873478140706496,0.00870642328901552,3.01920585004853,2.60116863087861,39.4163815280382,0.741865458587906,0.984721447352376
"Q12",0.52381160029384,0.241418315142025,-0.702039321358449,0.120848067899504,0.0954674524370303,0.52381160029384,0.241418315142025,-0.702039321358448,0.120848067899504,0.0954674524370303,0.274378592602394,0.058282802886014,0.492859208733431,0.0146042555150432,0.00911403447481664,3.79279741096018,2.71834759845012,33.853686837263,1.24037365219458,1.03082344165186
"Q13",0.746155811335467,0.00636308615175686,-0.0504860010124407,-0.0272058207647556,0.170924226988248,0.746155811335467,0.00636308615175685,-0.0504860010124407,-0.0272058207647556,0.170924226988248,0.556748494789689,4.04888653746799e-05,0.00254883629822816,0.000740156683484008,0.0292150913715301,7.69606050372272,0.00188842685157894,0.175075364953431,0.0628632420011841,3.30431063421889
"Q14",0.760669091179197,-0.0952630202539909,-0.0375923406405669,0.00206141975101701,0.17663420683899,0.760669091179197,-0.0952630202539908,-0.0375923406405669,0.00206141975101701,0.17663420683899,0.578617466275385,0.00907504302791227,0.00141318407483641,4.24945138988303e-06,0.0311996430256391,7.99836024819115,0.423265872593726,0.0970692852343454,0.000360915866944619,3.52876911875471
"Q15",0.791293740433707,-0.101827879933344,0.17694273550862,-0.047728895932668,-0.00205810308802038,0.791293740433707,-0.101827879933344,0.17694273550862,-0.047728895932668,-0.00205810308802038,0.626145783649567,0.0103689171317195,0.0313087316492735,0.00227804750695145,4.23578832091901e-06,8.65535494072285,0.483612997107623,2.15054518155443,0.193479914341376,0.000479079808963125
